Индекс,Тип региона,Регион,Город,Население
429570,Чувашия,Чувашская Республика,Мариинский Посад,10186
456007,обл,Челябинская,Миньяр,10195
155450,обл,Ивановская,Юрьевец,10205
155830,обл,Ивановская,Наволоки,10207
613530,обл,Кировская,Уржум,10213
678200,Респ,Саха /Якутия/,Вилюйск,10233
175040,обл,Новгородская,Сольцы,10317
429430,Чувашия,Чувашская Республика,Козловка,10355
249026,обл,Калужская,Ермолино,10409
612820,обл,Кировская,Кирс,10420
184380,обл,Мурманская,Кола,10447
162900,обл,Вологодская,Вытегра,10490
601291,обл,Владимирская,Суздаль,10535
658480,край,Алтайский,Змеиногорск,10569
694420,обл,Сахалинская,Александровск-Сахалинский,10613
632400,обл,Новосибирская,Каргат,10620
141650,обл,Московская,Высоковск,10642
663960,край,Красноярский,Заозерный,10683
215710,обл,Смоленская,Дорогобуж,10720
169060,Респ,Коми,Микунь,10732
238560,обл,Калининградская,Светлогорск,10775
363410,Респ,Северная Осетия - Алания,Дигора,10856
668210,Респ,Тыва,Шагонар,10958
641010,обл,Курганская,Щучье,10971
618270,край,Пермский,Гремячинск,11005
238590,обл,Калининградская,Пионерский,11017
427950,Респ,Удмуртская,Камбарка,11028
184670,обл,Мурманская,Гаджиево,11089
298213,Респ,Крым,Щелкино,11194
612410,обл,Кировская,Зуевка,11198
184310,обл,Мурманская,Заозерск,11206
623090,обл,Свердловская,Нижние Серги,11217
186500,Респ,Карелия,Беломорск,11217
613200,обл,Кировская,Белая Холуница,11232
671950,Респ,Бурятия,Закаменск,11249
613980,обл,Кировская,Луза,11262
641640,обл,Курганская,Петухово,11291
416111,обл,Астраханская,Нариманов,11386
397030,обл,Воронежская,Эртиль,11387
303140,обл,Орловская,Болхов,11421
676870,обл,Амурская,Завитинск,11481
186810,Респ,Карелия,Питкяранта,11484
299703,г,Севастополь,Инкерман,11526
673200,край,Забайкальский,Хилок,11530
422370,Респ,Татарстан,Тетюши,11596
249185,обл,Калужская,Кременки,11617
606120,обл,Нижегородская,Ворсма,11622
243500,обл,Брянская,Сураж,11640
694740,обл,Сахалинская,Невельск,11682
391710,обл,Рязанская,Михайлов,11783
238710,обл,Калининградская,Неман,11794
396790,обл,Воронежская,Богучар,11811
142660,обл,Московская,Дрезна,11815
624160,обл,Свердловская,Верхний Тагил,11843
601351,обл,Владимирская,Судогда,11848
694920,обл,Сахалинская,Углегорск,11880
612990,обл,Кировская,Сосновка,11960
632550,обл,Новосибирская,Чулым,11964
155410,обл,Ивановская,Заволжск,12045
646330,обл,Омская,Тюкалинск,12050
162480,обл,Вологодская,Бабаево,12074
646100,обл,Омская,Называевск,12119
655111,Респ,Хакасия,Сорск,12140
249190,обл,Калужская,Жуков,12150
188410,обл,Ленинградская,Волосово,12162
694051,обл,Сахалинская,Долинск,12200
171210,обл,Тверская,Лихославль,12259
249010,обл,Калужская,Боровск,12283
606803,обл,Нижегородская,Урень,12311
618820,край,Пермский,Горнозаводск,12334
169570,Респ,Коми,Вуктыл,12357
606540,обл,Нижегородская,Чкаловск,12371
249710,обл,Калужская,Сосенский,12394
624400,обл,Свердловская,Новая Ляля,12400
238300,обл,Калининградская,Гурьевск,12433
456971,обл,Челябинская,Нязепетровск,12452
174260,обл,Новгородская,Малая Вишера,12461
174350,обл,Новгородская,Окуловка,12464
673450,край,Забайкальский,Балей,12536
456120,обл,Челябинская,Юрюзань,12568
678188,Респ,Саха /Якутия/,Удачный,12611
666700,обл,Иркутская,Киренск,12652
391200,обл,Рязанская,Кораблино,12657
663920,край,Красноярский,Уяр,12666
385200,Респ,Адыгея,Адыгейск,12689
184682,обл,Мурманская,Снежногорск,12698
412210,обл,Саратовская,Аркадак,12846
238326,обл,Калининградская,Зеленоградск,13015
172840,обл,Тверская,Торопец,13018
658420,край,Алтайский,Горняк,13040
689000,АО,Чукотский,Анадырь,13053
186610,Респ,Карелия,Кемь,13061
601300,обл,Владимирская,Камешково,13113
456140,обл,Челябинская,Карабаш,13151
412780,обл,Саратовская,Хвалынск,13199
673730,край,Забайкальский,Могоча,13228
141840,обл,Московская,Яхрома,13248
403840,обл,Волгоградская,Петров Вал,13264
187320,обл,Ленинградская,Шлиссельбург,13305
141321,обл,Московская,Краснозаводск,13432
668050,Респ,Тыва,Ак-Довурак,13469
429900,Чувашия,Чувашская Республика,Цивильск,13478
143100,обл,Московская,Руза,13495
306230,обл,Курская,Обоянь,13562
665930,обл,Иркутская,Байкальск,13589
665420,обл,Иркутская,Свирск,13649
187420,обл,Ленинградская,Сясьстрой,13747
141900,обл,Московская,Талдом,13819
171571,обл,Тверская,Калязин,13870
242610,обл,Брянская,Фокино,13874
238210,обл,Калининградская,Гвардейск,13888
641730,обл,Курганская,Далматово,13913
301530,обл,Тульская,Белев,13918
673303,край,Забайкальский,Шилка,13947
601480,обл,Владимирская,Гороховец,14015
641700,обл,Курганская,Катайск,14017
141320,обл,Московская,Пересвет,14142
155630,обл,Ивановская,Южа,14170
624000,обл,Свердловская,Арамиль,14227
359220,Респ,Калмыкия,Лагань,14323
404002,обл,Волгоградская,Дубовка,14345
601670,обл,Владимирская,Струнино,14372
413230,обл,Саратовская,Красный Кут,14420
422190,Респ,Татарстан,Мамадыш,14432
456020,обл,Челябинская,Сим,14465
682950,край,Хабаровский,Вяземский,14556
607751,обл,Нижегородская,Первомайск,14567
169200,Респ,Коми,Емва,14574
663491,край,Красноярский,Кодинск,14835
601640,обл,Владимирская,Карабаново,14868
607800,обл,Нижегородская,Лукоянов,14949
673400,край,Забайкальский,Нерчинск,14976
617140,край,Пермский,Очер,15003
242220,обл,Брянская,Трубчевск,15014
618320,край,Пермский,Александровск,15022
347320,обл,Ростовская,Цимлянск,15029
659900,край,Алтайский,Белокуриха,15072
404030,обл,Волгоградская,Николаевск,15081
184230,обл,Мурманская,Полярные Зори,15106
601140,обл,Владимирская,Петушки,15167
602101,обл,Владимирская,Меленки,15208
393670,обл,Тамбовская,Жердевка,15211
301320,обл,Тульская,Венев,15220
666901,обл,Иркутская,Бодайбо,15331
298000,Респ,Крым,Судак,15368
632730,обл,Новосибирская,Купино,15448
623270,обл,Свердловская,Дегтярск,15521
404620,обл,Волгоградская,Ленинск,15527
162000,обл,Вологодская,Грязовец,15528
186350,Респ,Карелия,Медвежьегорск,15536
307370,обл,Курская,Рыльск,15667
601240,обл,Владимирская,Лакинск,15707
184430,обл,Мурманская,Заполярный,15835
152070,обл,Ярославская,Данилов,15861
174510,обл,Новгородская,Пестово,15911
188990,обл,Ленинградская,Светогорск,15973
404260,обл,Волгоградская,Палласовка,15984
404160,обл,Волгоградская,Краснослободск,16007
433300,обл,Ульяновская,Новоульяновск,16032
662251,край,Красноярский,Ужур,16079
462780,обл,Оренбургская,Ясный,16082
175400,обл,Новгородская,Валдай,16099
663800,край,Красноярский,Иланский,16108
171640,обл,Тверская,Кашин,16174
301470,обл,Тульская,Плавск,16248
416340,обл,Астраханская,Камызяк,16291
249270,обл,Калужская,Сухиничи,16295
143180,обл,Московская,Звенигород,16395
607100,обл,Нижегородская,Навашино,16413
412480,обл,Саратовская,Калининск,16442
694240,обл,Сахалинская,Поронайск,16461
423700,Респ,Татарстан,Мензелинск,16474
613341,обл,Кировская,Советск,16592
187650,обл,Ленинградская,Бокситогорск,16593
249830,обл,Калужская,Кондрово,16672
155550,обл,Ивановская,Приволжск,16749
301030,обл,Тульская,Ясногорск,16804
403790,обл,Волгоградская,Жирновск,16890
633340,обл,Новосибирская,Болотное,16969
456833,обл,Челябинская,Касли,16998
413360,обл,Саратовская,Новоузенск,17015
306509,обл,Курская,Щигры,17043
