Индекс,Тип региона,Регион,Город,Население
453700,Респ,Башкортостан,Учалы,37771
457040,обл,Челябинская,Южноуральск,37890
353500,край,Краснодарский,Темрюк,38014
624600,обл,Свердловская,Алапаевск,38198
429820,Чувашия,Чувашская Республика,Алатырь,38202
462631,обл,Оренбургская,Гай,38302
623850,обл,Свердловская,Ирбит,38352
162129,обл,Вологодская,Сокол,38454
356530,край,Ставропольский,Светлоград,38520
662310,край,Красноярский,Шарыпово,38570
692851,край,Приморский,Партизанск,38648
623750,обл,Свердловская,Реж,38709
363750,Респ,Северная Осетия - Алания,Моздок,38748
456550,обл,Челябинская,Коркино,38950
456870,обл,Челябинская,Кыштым,38950
309850,обл,Белгородская,Алексеевка,39026
187000,обл,Ленинградская,Тосно,39127
692801,край,Приморский,Большой Камень,39257
628280,АО,Ханты-Мансийский Автономный округ - Югра,Урай,39435
403530,обл,Волгоградская,Фролово,39489
684000,край,Камчатский,Елизово,39548
442240,обл,Пензенская,Каменка,39579
165650,обл,Архангельская,Коряжма,39629
352690,край,Краснодарский,Апшеронск,40229
606520,обл,Нижегородская,Заволжье,40265
238150,обл,Калининградская,Черняховск,40464
652150,обл,Кемеровская,Мариинск,40522
356140,край,Ставропольский,Изобильный,40546
249400,обл,Калужская,Людиново,40550
243020,обл,Брянская,Новозыбков,40552
164900,обл,Архангельская,Новодвинск,40612
666300,обл,Иркутская,Саянск,40786
346350,обл,Ростовская,Красный Сулин,40866
152300,обл,Ярославская,Тутаев,41001
169710,Респ,Коми,Усинск,41100
353180,край,Краснодарский,Кореновск,41179
601440,обл,Владимирская,Вязники,41252
412030,обл,Саратовская,Ртищево,41295
171250,обл,Тверская,Конаково,41303
393950,обл,Тамбовская,Моршанск,41550
403110,обл,Волгоградская,Урюпинск,41594
452450,Респ,Башкортостан,Бирск,41637
413720,обл,Саратовская,Пугачев,41705
238750,обл,Калининградская,Советск,41709
658700,край,Алтайский,Камень-на-Оби,41787
423520,Респ,Татарстан,Заинск,41798
142900,обл,Московская,Кашира,41880
416500,обл,Астраханская,Ахтубинск,41898
152020,обл,Ярославская,Переславль-Залесский,41923
346720,обл,Ростовская,Аксай,41984
636780,обл,Томская,Стрежевой,42216
301840,обл,Тульская,Ефремов,42350
629000,АО,Ямало-Ненецкий,Салехард,42494
624350,обл,Свердловская,Качканар,42563
307250,обл,Курская,Курчатов,42691
682640,край,Хабаровский,Амурск,42977
652840,обл,Кемеровская,Мыски,43029
303030,обл,Орловская,Мценск,43216
352330,край,Краснодарский,Усть-Лабинск,43268
456439,обл,Челябинская,Чебаркуль,43405
169600,Респ,Коми,Печора,43458
347040,обл,Ростовская,Белая Калитва,43688
692230,край,Приморский,Спасск-Дальний,44166
309290,обл,Белгородская,Шебекино,44277
665250,обл,Иркутская,Тулун,44603
666780,обл,Иркутская,Усть-Кут,45061
184505,обл,Мурманская,Мончегорск,45381
456913,обл,Челябинская,Сатка,45465
392000,обл,Тамбовская,Рассказово,45484
429330,Чувашия,Чувашская Республика,Канаш,45608
366200,Респ,Чеченская,Гудермес,45643
601780,обл,Владимирская,Кольчугино,45804
652800,обл,Кемеровская,Осинники,45997
215500,обл,Смоленская,Сафоново,46116
624760,обл,Свердловская,Верхняя Салда,46240
629733,АО,Ямало-Ненецкий,Надым,46550
618200,край,Пермский,Чусовой,46740
399050,обл,Липецкая,Грязи,46798
659100,край,Алтайский,Заринск,47035
140090,обл,Московская,Дзержинский,47125
632380,обл,Новосибирская,Куйбышев,47278
652420,обл,Кемеровская,Березовский,47292
187401,обл,Ленинградская,Волхов,47344
431440,Респ,Мордовия,Рузаевка,47529
172000,обл,Тверская,Торжок,47702
446300,обл,Самарская,Отрадный,47709
366300,Респ,Чеченская,Шали,47715
215800,обл,Смоленская,Ярцево,47853
188650,обл,Ленинградская,Сертолово,47854
427770,Респ,Удмуртская,Можга,47959
666031,обл,Иркутская,Шелехов,47960
352430,край,Краснодарский,Курганинск,47974
188456,обл,Ленинградская,Кингисепп,48667
456770,обл,Челябинская,Снежинск,48896
366500,Респ,Чеченская,,49071
368830,Респ,Дагестан,Кизляр,49169
171500,обл,Тверская,Кимры,49623
655602,Респ,Хакасия,Саяногорск,49889
184601,обл,Мурманская,Североморск,50076
346330,обл,Ростовская,Донецк,50085
303850,обл,Орловская,Ливны,50430
606407,обл,Нижегородская,Балахна,51526
623700,обл,Свердловская,Березовский,51583
461630,обл,Оренбургская,Бугуруслан,52249
171150,обл,Тверская,Вышний Волочек,52326
624200,обл,Свердловская,Лесной,52464
617060,край,Пермский,Краснокамск,52632
665400,обл,Иркутская,Черемхово,52650
187110,обл,Ленинградская,Кириши,52826
662200,край,Красноярский,Назарово,52829
141501,обл,Московская,Солнечногорск,52996
352630,край,Краснодарский,Белореченск,53891
352700,край,Краснодарский,Тимашевск,53921
174400,обл,Новгородская,Боровичи,54731
353460,край,Краснодарский,Геленджик,54813
216500,обл,Смоленская,Рославль,54898
140080,обл,Московская,Лыткарино,55147
301600,обл,Тульская,Узловая,55282
141190,обл,Московская,Фрязино,55449
674670,край,Забайкальский,Краснокаменск,55668
397900,обл,Воронежская,Лиски,55864
607060,обл,Нижегородская,Выкса,56196
368500,Респ,Дагестан,Избербаш,56301
692330,край,Приморский,Арсеньев,56742
142700,обл,Московская,Видное,56798
215110,обл,Смоленская,Вязьма,57103
353380,край,Краснодарский,Крымск,57370
445350,обл,Самарская,Жигулевск,57565
301240,обл,Тульская,Щекино,58154
155900,обл,Ивановская,Шуя,58528
676450,обл,Амурская,Свободный,58594
141280,обл,Московская,Ивантеевка,58594
624090,обл,Свердловская,Верхняя Пышма,58707
187550,обл,Ленинградская,Тихвин,58843
353440,край,Краснодарский,Анапа,58983
403340,обл,Волгоградская,Михайловка,59153
361040,Респ,Кабардино-Балкарская,Прохладный,59595
188640,обл,Ленинградская,Всеволожск,59689
184200,обл,Мурманская,Апатиты,59690
624440,обл,Свердловская,Краснотурьинск,59701
165300,обл,Архангельская,Котлас,60562
142300,обл,Московская,Чехов,60677
606100,обл,Нижегородская,Павлово,60699
422951,Респ,Татарстан,Чистополь,60703
601500,обл,Владимирская,Гусь-Хрустальный,60773
662541,край,Красноярский,Лесосибирск,61146
347630,обл,Ростовская,Сальск,61312
141800,обл,Московская,Дмитров,61454
601650,обл,Владимирская,Александров,61544
623280,обл,Свердловская,Ревда,61713
301352,обл,Тульская,Алексин,61738
678960,Респ,Саха /Якутия/,Нерюнгри,61746
352120,край,Краснодарский,Тихорецк,61825
172380,обл,Тверская,Ржев,62026
243140,обл,Брянская,Клинцы,62510
352500,край,Краснодарский,Лабинск,62822
649000,Респ,Алтай,Горно-Алтайск,62861
396650,обл,Воронежская,Россошь,62865
352800,край,Краснодарский,Туапсе,63233
442960,обл,Пензенская,Заречный,63579
353560,край,Краснодарский,Славянск-на-Кубани,63768
142500,обл,Московская,Павловский Посад,63771
423250,Респ,Татарстан,Лениногорск,64145
623382,обл,Свердловская,Полевской,64316
301760,обл,Тульская,Донской,64561
356800,край,Ставропольский,Буденновск,64628
143300,обл,Московская,Наро-Фоминск,64640
397160,обл,Воронежская,Борисоглебск,65585
368220,Респ,Дагестан,Буйнакск,65735
188540,обл,Ленинградская,Сосновый Бор,65901
663690,край,Красноярский,Зеленогорск,66018
453200,Респ,Башкортостан,Ишимбай,66259
412900,обл,Саратовская,Вольск,66520
607650,обл,Нижегородская,Кстово,66641
452750,Респ,Башкортостан,Туймазы,66849
142800,обл,Московская,Ступино,66942
347870,обл,Ростовская,Гуково,67268
618900,край,Пермский,Лысьва,67712
617470,край,Пермский,Кунгур,67857
676805,обл,Амурская,Белогорск,68220
627705,обл,Тюменская,Ишим,69567
298100,Респ,Крым,Феодосия,69786
624260,обл,Свердловская,Асбест,70067
140300,обл,Московская,Егорьевск,70133
169900,Респ,Коми,Воркута,70551
141980,обл,Московская,Дубна,70569
423600,Респ,Татарстан,Елабуга,70750
356240,край,Ставропольский,Михайловск,71018
662600,край,Красноярский,Минусинск,71171
655151,Респ,Хакасия,Черногорск,72117
357820,край,Ставропольский,Георгиевск,72126
446100,обл,Самарская,Чапаевск,72689
658041,край,Алтайский,Новоалтайск,73134
141055,обл,Московская,Лобня,74350
679002,Аобл,Еврейская,Биробиджан,75419
652470,обл,Кемеровская,Анжеро-Судженск,76669
357200,край,Ставропольский,Минеральные Воды,76715
652600,обл,Кемеровская,Белово,76752
641870,обл,Курганская,Шадринск,77744
298600,Респ,Крым,Ялта,78040
606440,обл,Нижегородская,Бор,78079
457100,обл,Челябинская,Троицк,78637
628000,АО,Ханты-Мансийский Автономный округ - Югра,Ханты-Мансийск,79410
188800,обл,Ленинградская,Выборг,80013
623300,обл,Свердловская,Красноуфимск,80457
141601,обл,Московская,Клин,80584
352380,край,Краснодарский,Кропоткин,80743
613040,обл,Кировская,Кирово-Чепецк,80920
652050,обл,Кемеровская,Юрга,81536
412300,обл,Саратовская,Балашов,82222
456780,обл,Челябинская,Озерск,82268
461040,обл,Оренбургская,Бузулук,82816
346780,обл,Ростовская,Азов,82882
617760,край,Пермский,Чайковский,82933
665450,обл,Иркутская,Усолье-Сибирское,83364
662970,край,Красноярский,Железногорск,85559
666671,обл,Иркутская,Усть-Илимск,86591
143960,обл,Московская,Реутов,87195
353680,край,Краснодарский,Ейск,87771
155800,обл,Ивановская,Кинешма,88113
309180,обл,Белгородская,Губкин,88562
442530,обл,Пензенская,Кузнецк,88886
423230,Респ,Татарстан,Бугульма,89144
141700,обл,Московская,Долгопрудный,90976
140200,обл,Московская,Воскресенск,91301
624130,обл,Свердловская,Новоуральск,91813
607180,обл,Нижегородская,Саров,92073
188300,обл,Ленинградская,Гатчина,92566
386100,Респ,Ингушетия,Назрань,93357
663600,край,Красноярский,Канск,94230
307170,обл,Курская,Железногорск,95057
347800,обл,Ростовская,Каменск-Шахтинский,95306
427620,Респ,Удмуртская,Глазов,95835
102321,обл,Московская,Домодедово,96123
140100,обл,Московская,Раменское,96355
618541,край,Пермский,Соликамск,97239
422521,Респ,Татарстан,Зеленодольск,97651
462351,обл,Оренбургская,Новотроицк,97914
652700,обл,Кемеровская,Киселевск,98382
393760,обл,Тамбовская,Мичуринск,98758
182100,обл,Псковская,Великие Луки,98778
624980,обл,Свердловская,Серов,99381
169300,Респ,Коми,Ухта,99642
626109,обл,Тюменская,Тобольск,99698
142400,обл,Московская,Ногинск,99762
427430,Респ,Удмуртская,Воткинск,100034
357600,край,Ставропольский,Ессентуки,100969
427960,Респ,Удмуртская,Сарапул,101390
652500,обл,Кемеровская,Ленинск-Кузнецкий,101666
652870,обл,Кемеровская,Междуреченск,101995
692486,край,Приморский,Артем,102636
140180,обл,Московская,Жуковский,102729
141200,обл,Московская,Пушкино,102840
358000,Респ,Калмыкия,Элиста,103728
368300,Респ,Дагестан,Каспийск,103914
629300,АО,Ямало-Ненецкий,Новый Уренгой,104144
249030,обл,Калужская,Обнинск,104798
607220,обл,Нижегородская,Арзамас,106367
297402,Респ,Крым,Евпатория,106840
446200,обл,Самарская,Новокуйбышевск,108449
636000,обл,Томская,Северск,108466
662150,край,Красноярский,Ачинск,109156
667000,Респ,Тыва,Кызыл,109906
141100,обл,Московская,Щелково,110380
629800,АО,Ямало-Ненецкий,Ноябрьск,110572
141300,обл,Московская,Сергиев Посад,110878
346900,обл,Ростовская,Новошахтинск,111087
346880,обл,Ростовская,Батайск,112400
602205,обл,Владимирская,Муром,116078
143401,обл,Московская,Красногорск,116738
357100,край,Ставропольский,Невинномысск,118351
403870,обл,Волгоградская,Камышин,119924
368000,Респ,Дагестан,Дербент,119961
142600,обл,Московская,Орехово-Зуево,120620
369000,Респ,Карачаево-Черкесская,Черкесск,121439
433500,обл,Ульяновская,Димитровград,122549
429950,Чувашия,Чувашская Республика,Новочебоксарск,124094
142200,обл,Московская,Серпухов,126496
357700,край,Ставропольский,Кисловодск,128502
301650,обл,Тульская,Новомосковск,131227
456600,обл,Челябинская,Копейск,137604
143000,обл,Московская,Одинцово,139021
357500,край,Ставропольский,Пятигорск,142397
385000,Респ,Адыгея,Майкоп,144055
298300,Респ,Крым,Керчь,144600
140400,обл,Московская,Коломна,144642
601900,обл,Владимирская,Ковров,145492
423403,Респ,Татарстан,Альметьевск,146309
658200,край,Алтайский,Рубцовск,146386
623100,обл,Свердловская,Первоуральск,149800
456300,обл,Челябинская,Миасс,151812
144000,обл,Московская,Электросталь,155324
618400,край,Пермский,Березники,156350
692500,край,Приморский,Уссурийск,157946
692900,край,Приморский,Находка,159695
655000,Респ,Хакасия,Абакан,165183
346400,обл,Ростовская,Новочеркасск,169039
347360,обл,Ростовская,Волгодонск,170621
140000,обл,Московская,Люберцы,171978
141000,обл,Московская,Мытищи,173341
623400,обл,Свердловская,Каменск-Уральский,174710
456200,обл,Челябинская,Златоуст,174985
663300,край,Красноярский,Норильск,175301
446000,обл,Самарская,Сызрань,178773
683000,край,Камчатский,Петропавловск-Камчатский,179526
693000,обл,Сахалинская,Южно-Сахалинск,181727
141070,обл,Московская,Королев,183452
142100,обл,Московская,Подольск,187956
352900,край,Краснодарский,Армавир,188897
164500,обл,Архангельская,Северодвинск,192265
413840,обл,Саратовская,Балаково,199576
152900,обл,Ярославская,Рыбинск,200771
413100,обл,Саратовская,Энгельс,202838
659300,край,Алтайский,Бийск,203826
141400,обл,Московская,Химки,207125
652701,обл,Кемеровская,Прокопьевск,210150
675000,обл,Амурская,Благовещенск,214397
143900,обл,Московская,Балашиха,215353
173000,обл,Новгородская,Великий Новгород,218724
309500,обл,Белгородская,Старый Оскол,221163
665800,обл,Иркутская,Ангарск,233765
423570,Респ,Татарстан,Нижнекамск,234108
167000,Респ,Коми,Сыктывкар,235006
462400,обл,Оренбургская,Орск,238006
360000,Респ,Кабардино-Балкарская,Нальчик,240095
346500,обл,Ростовская,Шахты,240152
606000,обл,Нижегородская,Дзержинск,240762
353900,край,Краснодарский,Новороссийск,241788
665700,обл,Иркутская,Братск,246348
347900,обл,Ростовская,Таганрог,257692
185000,Респ,Карелия,Петрозаводск,263540
681000,край,Хабаровский,Комсомольск-на-Амуре,263906
156000,обл,Костромская,Кострома,268617
677000,Респ,Саха /Якутия/,Якутск,269486
364000,Респ,Чеченская,Грозный,271596
453100,Респ,Башкортостан,Стерлитамак,273432
430000,Респ,Мордовия,Саранск,297425
160000,обл,Вологодская,Вологда,301642
628400,АО,Ханты-Мансийский Автономный округ - Югра,Сургут,306703
183000,обл,Мурманская,Мурманск,307664
362000,Респ,Северная Осетия - Алания,Владикавказ,311635
162600,обл,Вологодская,Череповец,312311
404100,обл,Волгоградская,Волжский,314436
302000,обл,Орловская,Орёл,317854
672000,край,Забайкальский,Чита,323964
248000,обл,Калужская,Калуга,325185
214000,обл,Смоленская,Смоленск,326863
640002,обл,Курганская,Курган,333640
354000,край,Краснодарский,Сочи,343285
299001,г,Севастополь,,344479
600000,обл,Владимирская,Владимир,348256
163000,обл,Архангельская,Архангельск,348716
308000,обл,Белгородская,Белгород,356426
622000,обл,Свердловская,Нижний Тагил,361883
295000,Респ,Крым,Симферополь,362366
355000,край,Ставропольский,Ставрополь,398266
170000,обл,Тверская,Тверь,403726
455000,обл,Челябинская,Магнитогорск,408401
153000,обл,Ивановская,Иваново,409277
305000,обл,Курская,Курск,414595
241000,обл,Брянская,Брянск,415640
236001,обл,Калининградская,Калининград,431491
670000,Респ,Бурятия,Улан-Удэ,431922
428000,Чувашия,Чувашская Республика,Чебоксары,447929
610000,обл,Кировская,Киров,473668
300000,обл,Тульская,Тула,501129
423800,Респ,Татарстан,Набережные Челны,513242
440000,обл,Пензенская,Пенза,519592
414000,обл,Астраханская,Астрахань,520662
634000,обл,Томская,Томск,522940
390000,обл,Рязанская,Рязань,525062
650000,обл,Кемеровская,Кемерово,532884
654000,обл,Кемеровская,Новокузнецк,547885
460000,обл,Оренбургская,Оренбург,570329
680000,край,Хабаровский,Хабаровск,577668
367000,Респ,Дагестан,Махачкала,577990
625000,обл,Тюменская,Тюмень,581758
664000,обл,Иркутская,Иркутск,587225
150000,обл,Ярославская,Ярославль,591486
690000,край,Приморский,Владивосток,592069
432000,обл,Ульяновская,Ульяновск,613793
426000,Респ,Удмуртская,Ижевск,628117
656000,край,Алтайский,Барнаул,635585
445000,обл,Самарская,Тольятти,719484
350000,край,Краснодарский,Краснодар,744933
410000,обл,Саратовская,Саратов,836900
394000,обл,Воронежская,Воронеж,889680
660000,край,Красноярский,Красноярск,973826
614000,край,Пермский,Пермь,1000679
400000,обл,Волгоградская,Волгоград,1021244
450000,Респ,Башкортостан,Уфа,1062300
344000,обл,Ростовская,Ростов-на-Дону,1091544
454000,обл,Челябинская,Челябинск,1130273
644000,обл,Омская,Омск,1154000
443000,обл,Самарская,Самара,1164900
420000,Респ,Татарстан,Казань,1216965
603000,обл,Нижегородская,Нижний Новгород,1250615
620000,обл,Свердловская,Екатеринбург,1377738
630000,обл,Новосибирская,Новосибирск,1498921
190000,г,Санкт-Петербург,,4848742
101000,г,Москва,,11514330
